Grafo,Fuente,Sumidero,Mediatime,Medianatime,Stdtime,Flujomaximo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
grafo1,11,16,0.039049721,0.031243443,0.016012524,34,4,0.333333333,0.452380952,0.046539961,4,0.048802937
grafo1,11,17,0.045498013,0.040001154,0.017602404,42,4,0.333333333,0.452380952,0.046539961,4,0.048802937
grafo1,11,18,0.04374063,0.031274915,0.018214383,46,4,0.333333333,0.452380952,0.046539961,4,0.048802937
grafo1,11,19,0.039053059,0.03124404,0.020066382,45,4,0.333333333,0.452380952,0.046539961,4,0.048802937
grafo1,12,0,0.032804298,0.031236887,0.016314314,18,2,0,0.387755102,0.021320663,4,0.029823614
grafo1,12,1,0.031242442,0.031237602,0.017111999,18,2,0,0.387755102,0.021320663,4,0.029823614
grafo1,12,2,0.033081818,0.031237364,0.020729688,18,2,0,0.387755102,0.021320663,4,0.029823614
grafo1,12,3,0.032804799,0.031238794,0.02030613,18,2,0,0.387755102,0.021320663,4,0.029823614
grafo1,12,4,0.032805586,0.031226516,0.020304238,18,2,0,0.387755102,0.021320663,4,0.029823614
grafo1,12,5,0.0312428,0.015646935,0.024188682,18,2,0,0.387755102,0.021320663,4,0.029823614
grafo1,12,6,0.031242847,0.03123498,0.017110302,18,2,0,0.387755102,0.021320663,4,0.029823614
grafo1,12,7,0.032804108,0.023432612,0.023639263,18,2,0,0.387755102,0.021320663,4,0.029823614
grafo1,12,8,0.034605527,0.03124392,0.015270513,18,2,0,0.387755102,0.021320663,4,0.029823614
grafo1,12,9,0.032804346,0.023432136,0.023637533,18,2,0,0.387755102,0.021320663,4,0.029823614
grafo1,12,10,0.032804823,0.031246066,0.020310749,18,2,0,0.387755102,0.021320663,4,0.029823614
grafo1,12,11,0.032589674,0.031242251,0.019822693,18,2,0,0.387755102,0.021320663,4,0.029823614
grafo1,12,13,0.034366608,0.031239152,0.022959481,18,2,0,0.387755102,0.021320663,4,0.029823614
grafo1,12,14,0.03592906,0.031243205,0.018550331,18,2,0,0.387755102,0.021320663,4,0.029823614
grafo1,12,15,0.035930371,0.031243801,0.022146118,18,2,0,0.387755102,0.021320663,4,0.029823614
grafo1,12,16,0.03592782,0.031241298,0.022146339,18,2,0,0.387755102,0.021320663,4,0.029823614
grafo1,12,17,0.034366965,0.031245947,0.015309206,18,2,0,0.387755102,0.021320663,4,0.029823614
